iter	MultiClass
0	1.126957355
1	1.015452953
2	0.883167534
3	0.7681293517
4	0.6895101772
5	0.6344942414
6	0.5761072633
7	0.5241698874
8	0.4815692365
9	0.4497924562
10	0.4177982227
11	0.382350462
12	0.3445189931
13	0.3191190382
14	0.2935481796
15	0.2695127772
16	0.2368199015
17	0.2137844525
18	0.1904292469
19	0.1800934175
20	0.1683876557
21	0.1557883663
22	0.1453844612
23	0.1366056036
24	0.1300159382
25	0.1222529359
26	0.1171066654
27	0.1104788807
28	0.1070649355
29	0.1025092911
30	0.09688556797
31	0.09236984287
32	0.08815085193
33	0.08382814206
34	0.07873207784
35	0.07549761784
36	0.0711623411
37	0.068401976
38	0.06479297466
39	0.06260393204
40	0.06043602112
41	0.05841493951
42	0.05599255496
43	0.05393413764
44	0.0522352342
45	0.05048084969
46	0.04910875266
47	0.04791613263
48	0.046160953
49	0.04464066344
50	0.04372821827
51	0.04259758547
52	0.04162893985
53	0.04048347886
54	0.03960987244
55	0.03784922935
56	0.03681193413
57	0.03586375309
58	0.03499556481
59	0.03431043297
60	0.03353685525
61	0.03278120511
62	0.03226448527
63	0.03185501757
64	0.03139331916
65	0.03094372878
66	0.03029750776
67	0.02965158219
68	0.02907827546
69	0.02835567566
70	0.02773810772
71	0.0271532115
72	0.02675063575
73	0.02643030143
74	0.02600578928
75	0.02560839922
76	0.02502779184
77	0.02451592048
78	0.02400427917
79	0.02349670897
80	0.02304260019
81	0.02271855491
82	0.02241796288
83	0.02212567987
84	0.02176235711
85	0.02139326756
86	0.02103718409
87	0.0208254349
88	0.02060059905
89	0.02042717669
90	0.02003995816
91	0.01989845197
92	0.01966384144
93	0.01937075251
94	0.01908456027
95	0.01894919607
96	0.01855153067
97	0.01824165394
98	0.01805408417
99	0.01784481445
